Request.id	Pickup.point	Driver.id	Status	Request.timestamp	Drop.timestamp	Request_dt	Drop_dt	Request_date	Request_hour	Drop_date	Drop_hour	time_slot
3075	City	2	Trip Completed	13-07-2016 08:02	13-07-2016 09:16	13-07-2016 08:02	13-07-2016 09:16	13-07-2016	8	13-07-2016	9	Morning
3379	City	2	Trip Completed	13-07-2016 14:23	13-07-2016 15:35	13-07-2016 14:23	13-07-2016 15:35	13-07-2016	14	13-07-2016	15	Afternoon
3482	Airport	2	Trip Completed	13-07-2016 17:23	13-07-2016 18:20	13-07-2016 17:23	13-07-2016 18:20	13-07-2016	17	13-07-2016	18	Evening
4652	City	2	Trip Completed	14-07-2016 12:01	14-07-2016 12:36	14-07-2016 12:01	14-07-2016 12:36	14-07-2016	12	14-07-2016	12	Afternoon
5335	Airport	2	Trip Completed	14-07-2016 22:24	14-07-2016 23:18	14-07-2016 22:24	14-07-2016 23:18	14-07-2016	22	14-07-2016	23	Late_Night
535	Airport	3	Trip Completed	11-07-2016 10:00	11-07-2016 10:31	11-07-2016 10:00	11-07-2016 10:31	11-07-2016	10	11-07-2016	10	Afternoon
960	Airport	3	Trip Completed	11-07-2016 18:45	11-07-2016 19:23	11-07-2016 18:45	11-07-2016 19:23	11-07-2016	18	11-07-2016	19	Evening
1934	Airport	3	Trip Completed	12-07-2016 11:17	12-07-2016 12:23	12-07-2016 11:17	12-07-2016 12:23	12-07-2016	11	12-07-2016	12	Afternoon
2083	Airport	3	Trip Completed	12-07-2016 15:46	12-07-2016 16:40	12-07-2016 15:46	12-07-2016 16:40	12-07-2016	15	12-07-2016	16	Afternoon
2211	Airport	3	Trip Completed	12-07-2016 18:00	12-07-2016 18:28	12-07-2016 18:00	12-07-2016 18:28	12-07-2016	18	12-07-2016	18	Evening
3096	Airport	3	Trip Completed	13-07-2016 08:17	13-07-2016 09:22	13-07-2016 08:17	13-07-2016 09:22	13-07-2016	8	13-07-2016	9	Morning
3881	Airport	3	Trip Completed	13-07-2016 21:54	13-07-2016 22:51	13-07-2016 21:54	13-07-2016 22:51	13-07-2016	21	13-07-2016	22	Late_Night
5254	City	3	Trip Completed	14-07-2016 21:23	14-07-2016 22:25	14-07-2016 21:23	14-07-2016 22:25	14-07-2016	21	14-07-2016	22	Late_Night
5434	City	3	Trip Completed	15-07-2016 02:41	15-07-2016 03:24	15-07-2016 02:41	15-07-2016 03:24	15-07-2016	2	15-07-2016	3	Early_Morning
5916	City	3	Trip Completed	15-07-2016 10:00	15-07-2016 10:53	15-07-2016 10:00	15-07-2016 10:53	15-07-2016	10	15-07-2016	10	Afternoon
669	City	4	Trip Completed	11-07-2016 13:08	11-07-2016 13:49	11-07-2016 13:08	11-07-2016 13:49	11-07-2016	13	11-07-2016	13	Afternoon
1567	Airport	4	Trip Completed	12-07-2016 06:21	12-07-2016 07:10	12-07-2016 06:21	12-07-2016 07:10	12-07-2016	6	12-07-2016	7	Morning
1826	City	4	Trip Completed	12-07-2016 09:27	12-07-2016 10:27	12-07-2016 09:27	12-07-2016 10:27	12-07-2016	9	12-07-2016	10	Morning
2102	City	4	Trip Completed	12-07-2016 16:09	12-07-2016 17:01	12-07-2016 16:09	12-07-2016 17:01	12-07-2016	16	12-07-2016	17	Afternoon
2847	Airport	4	Trip Completed	13-07-2016 05:34	13-07-2016 06:09	13-07-2016 05:34	13-07-2016 06:09	13-07-2016	5	13-07-2016	6	Morning
3722	Airport	4	Trip Completed	13-07-2016 19:57	13-07-2016 20:32	13-07-2016 19:57	13-07-2016 20:32	13-07-2016	19	13-07-2016	20	Evening
4075	City	4	Trip Completed	14-07-2016 02:17	14-07-2016 03:21	14-07-2016 02:17	14-07-2016 03:21	14-07-2016	2	14-07-2016	3	Early_Morning
4686	City	4	Trip Completed	14-07-2016 13:01	14-07-2016 13:45	14-07-2016 13:01	14-07-2016 13:45	14-07-2016	13	14-07-2016	13	Afternoon
5771	Airport	4	Trip Completed	15-07-2016 08:30	15-07-2016 09:37	15-07-2016 08:30	15-07-2016 09:37	15-07-2016	8	15-07-2016	9	Morning
6106	Airport	4	Trip Completed	15-07-2016 15:01	15-07-2016 15:47	15-07-2016 15:01	15-07-2016 15:47	15-07-2016	15	15-07-2016	15	Afternoon
312	City	5	Trip Completed	11-07-2016 07:27	11-07-2016 08:31	11-07-2016 07:27	11-07-2016 08:31	11-07-2016	7	11-07-2016	8	Morning
577	Airport	5	Trip Completed	11-07-2016 11:03	11-07-2016 12:01	11-07-2016 11:03	11-07-2016 12:01	11-07-2016	11	11-07-2016	12	Afternoon
1179	City	5	Trip Completed	11-07-2016 20:58	11-07-2016 21:45	11-07-2016 20:58	11-07-2016 21:45	11-07-2016	20	11-07-2016	21	Evening
1756	Airport	5	Trip Completed	12-07-2016 08:40	12-07-2016 09:23	12-07-2016 08:40	12-07-2016 09:23	12-07-2016	8	12-07-2016	9	Morning
2052	City	5	Trip Completed	12-07-2016 14:48	12-07-2016 15:50	12-07-2016 14:48	12-07-2016 15:50	12-07-2016	14	12-07-2016	15	Afternoon
2559	City	5	Trip Completed	12-07-2016 21:32	12-07-2016 22:29	12-07-2016 21:32	12-07-2016 22:29	12-07-2016	21	12-07-2016	22	Late_Night
3014	City	5	Trip Completed	13-07-2016 07:28	13-07-2016 08:29	13-07-2016 07:28	13-07-2016 08:29	13-07-2016	7	13-07-2016	8	Morning
3317	City	5	Trip Completed	13-07-2016 12:14	13-07-2016 12:46	13-07-2016 12:14	13-07-2016 12:46	13-07-2016	12	13-07-2016	12	Afternoon
4297	City	5	Trip Completed	14-07-2016 06:43	14-07-2016 07:49	14-07-2016 06:43	14-07-2016 07:49	14-07-2016	6	14-07-2016	7	Morning
5857	Airport	5	Trip Completed	15-07-2016 09:08	15-07-2016 10:07	15-07-2016 09:08	15-07-2016 10:07	15-07-2016	9	15-07-2016	10	Morning
6690	Airport	5	Trip Completed	15-07-2016 22:41	15-07-2016 23:51	15-07-2016 22:41	15-07-2016 23:51	15-07-2016	22	15-07-2016	23	Late_Night
1517	Airport	6	Trip Completed	12-07-2016 05:45	12-07-2016 06:28	12-07-2016 05:45	12-07-2016 06:28	12-07-2016	5	12-07-2016	6	Morning
1999	Airport	6	Trip Completed	12-07-2016 13:02	12-07-2016 13:51	12-07-2016 13:02	12-07-2016 13:51	12-07-2016	13	12-07-2016	13	Afternoon
2960	Airport	6	Trip Completed	13-07-2016 06:50	13-07-2016 07:40	13-07-2016 06:50	13-07-2016 07:40	13-07-2016	6	13-07-2016	7	Morning
3882	City	6	Trip Completed	13-07-2016 21:53	13-07-2016 22:45	13-07-2016 21:53	13-07-2016 22:45	13-07-2016	21	13-07-2016	22	Late_Night
4081	Airport	6	Trip Completed	14-07-2016 02:37	14-07-2016 03:30	14-07-2016 02:37	14-07-2016 03:30	14-07-2016	2	14-07-2016	3	Early_Morning
4740	City	6	Trip Completed	14-07-2016 14:50	14-07-2016 15:38	14-07-2016 14:50	14-07-2016 15:38	14-07-2016	14	14-07-2016	15	Afternoon
5270	City	6	Trip Completed	14-07-2016 21:33	14-07-2016 22:25	14-07-2016 21:33	14-07-2016 22:25	14-07-2016	21	14-07-2016	22	Late_Night
6758	Airport	6	Trip Completed	15-07-2016 00:03	15-07-2016 01:07	15-07-2016 00:03	15-07-2016 01:07	15-07-2016	0	15-07-2016	1	Early_Morning
5741	City	6	Trip Completed	15-07-2016 07:52	15-07-2016 08:38	15-07-2016 07:52	15-07-2016 08:38	15-07-2016	7	15-07-2016	8	Morning
6087	Airport	6	Trip Completed	15-07-2016 14:28	15-07-2016 15:33	15-07-2016 14:28	15-07-2016 15:33	15-07-2016	14	15-07-2016	15	Afternoon
1039	City	7	Trip Completed	11-07-2016 19:31	11-07-2016 20:41	11-07-2016 19:31	11-07-2016 20:41	11-07-2016	19	11-07-2016	20	Evening
1273	Airport	7	Trip Completed	11-07-2016 22:07	11-07-2016 23:12	11-07-2016 22:07	11-07-2016 23:12	11-07-2016	22	11-07-2016	23	Late_Night
2480	City	7	Trip Completed	12-07-2016 20:39	12-07-2016 21:28	12-07-2016 20:39	12-07-2016 21:28	12-07-2016	20	12-07-2016	21	Evening
4105	City	7	Trip Completed	14-07-2016 03:39	14-07-2016 04:39	14-07-2016 03:39	14-07-2016 04:39	14-07-2016	3	14-07-2016	4	Early_Morning
4509	City	7	Trip Completed	14-07-2016 09:11	14-07-2016 10:17	14-07-2016 09:11	14-07-2016 10:17	14-07-2016	9	14-07-2016	10	Morning
4986	Airport	7	Trip Completed	14-07-2016 18:52	14-07-2016 19:50	14-07-2016 18:52	14-07-2016 19:50	14-07-2016	18	14-07-2016	19	Evening
5898	City	7	Trip Completed	15-07-2016 09:50	15-07-2016 10:40	15-07-2016 09:50	15-07-2016 10:40	15-07-2016	9	15-07-2016	10	Morning
6142	Airport	7	Trip Completed	15-07-2016 15:50	15-07-2016 16:36	15-07-2016 15:50	15-07-2016 16:36	15-07-2016	15	15-07-2016	16	Afternoon
380	Airport	8	Trip Completed	11-07-2016 08:18	11-07-2016 09:18	11-07-2016 08:18	11-07-2016 09:18	11-07-2016	8	11-07-2016	9	Morning
1050	Airport	8	Trip Completed	11-07-2016 19:39	11-07-2016 20:30	11-07-2016 19:39	11-07-2016 20:30	11-07-2016	19	11-07-2016	20	Evening
1769	City	8	Trip Completed	12-07-2016 08:57	12-07-2016 09:24	12-07-2016 08:57	12-07-2016 09:24	12-07-2016	8	12-07-2016	9	Morning
2520	City	8	Trip Completed	12-07-2016 21:05	12-07-2016 22:20	12-07-2016 21:05	12-07-2016 22:20	12-07-2016	21	12-07-2016	22	Late_Night
3265	Airport	8	Trip Completed	13-07-2016 10:22	13-07-2016 11:07	13-07-2016 10:22	13-07-2016 11:07	13-07-2016	10	13-07-2016	11	Afternoon
4648	City	8	Trip Completed	14-07-2016 11:55	14-07-2016 12:59	14-07-2016 11:55	14-07-2016 12:59	14-07-2016	11	14-07-2016	12	Afternoon
449	Airport	9	Trip Completed	11-07-2016 09:08	11-07-2016 09:52	11-07-2016 09:08	11-07-2016 09:52	11-07-2016	9	11-07-2016	9	Morning
846	Airport	9	Trip Completed	11-07-2016 17:46	11-07-2016 18:52	11-07-2016 17:46	11-07-2016 18:52	11-07-2016	17	11-07-2016	18	Evening
1346	Airport	9	Trip Completed	11-07-2016 23:39	12-07-2016 00:23	11-07-2016 23:39	12-07-2016 00:23	11-07-2016	23	12-07-2016	0	Late_Night
1474	Airport	9	Trip Completed	12-07-2016 05:13	12-07-2016 05:56	12-07-2016 05:13	12-07-2016 05:56	12-07-2016	5	12-07-2016	5	Morning
2240	City	9	Trip Completed	12-07-2016 18:20	12-07-2016 18:54	12-07-2016 18:20	12-07-2016 18:54	12-07-2016	18	12-07-2016	18	Evening
3072	Airport	9	Trip Completed	13-07-2016 08:04	13-07-2016 08:36	13-07-2016 08:04	13-07-2016 08:36	13-07-2016	8	13-07-2016	8	Morning
3459	Airport	9	Trip Completed	13-07-2016 17:03	13-07-2016 17:31	13-07-2016 17:03	13-07-2016 17:31	13-07-2016	17	13-07-2016	17	Evening
3774	Airport	9	Trip Completed	13-07-2016 20:41	13-07-2016 21:27	13-07-2016 20:41	13-07-2016 21:27	13-07-2016	20	13-07-2016	21	Evening
4023	City	9	Trip Completed	13-07-2016 23:58	14-07-2016 00:58	13-07-2016 23:58	14-07-2016 00:58	13-07-2016	23	14-07-2016	0	Late_Night
4117	City	9	Trip Completed	14-07-2016 04:21	14-07-2016 05:07	14-07-2016 04:21	14-07-2016 05:07	14-07-2016	4	14-07-2016	5	Early_Morning
4880	Airport	9	Trip Completed	14-07-2016 17:58	14-07-2016 19:02	14-07-2016 17:58	14-07-2016 19:02	14-07-2016	17	14-07-2016	19	Evening
5568	Airport	9	Trip Completed	15-07-2016 05:47	15-07-2016 06:25	15-07-2016 05:47	15-07-2016 06:25	15-07-2016	5	15-07-2016	6	Morning
5994	Airport	9	Trip Completed	15-07-2016 11:51	15-07-2016 12:32	15-07-2016 11:51	15-07-2016 12:32	15-07-2016	11	15-07-2016	12	Afternoon
1809	Airport	10	Trip Completed	12-07-2016 09:13	12-07-2016 10:01	12-07-2016 09:13	12-07-2016 10:01	12-07-2016	9	12-07-2016	10	Morning
2064	Airport	10	Trip Completed	12-07-2016 15:08	12-07-2016 16:14	12-07-2016 15:08	12-07-2016 16:14	12-07-2016	15	12-07-2016	16	Afternoon
3210	City	10	Trip Completed	13-07-2016 09:47	13-07-2016 10:52	13-07-2016 09:47	13-07-2016 10:52	13-07-2016	9	13-07-2016	10	Morning
4350	City	10	Trip Completed	14-07-2016 07:24	14-07-2016 08:22	14-07-2016 07:24	14-07-2016 08:22	14-07-2016	7	14-07-2016	8	Morning
4713	City	10	Trip Completed	14-07-2016 13:31	14-07-2016 14:10	14-07-2016 13:31	14-07-2016 14:10	14-07-2016	13	14-07-2016	14	Afternoon
5629	Airport	10	Trip Completed	15-07-2016 06:33	15-07-2016 07:19	15-07-2016 06:33	15-07-2016 07:19	15-07-2016	6	15-07-2016	7	Morning
6157	Airport	10	Trip Completed	15-07-2016 16:32	15-07-2016 17:44	15-07-2016 16:32	15-07-2016 17:44	15-07-2016	16	15-07-2016	17	Afternoon
2030	City	11	Trip Completed	12-07-2016 14:11	12-07-2016 15:02	12-07-2016 14:11	12-07-2016 15:02	12-07-2016	14	12-07-2016	15	Afternoon
3226	City	11	Trip Completed	13-07-2016 10:00	13-07-2016 11:02	13-07-2016 10:00	13-07-2016 11:02	13-07-2016	10	13-07-2016	11	Afternoon
3353	City	11	Trip Completed	13-07-2016 13:29	13-07-2016 14:09	13-07-2016 13:29	13-07-2016 14:09	13-07-2016	13	13-07-2016	14	Afternoon
4293	City	11	Trip Completed	14-07-2016 06:42	14-07-2016 07:12	14-07-2016 06:42	14-07-2016 07:12	14-07-2016	6	14-07-2016	7	Morning
4936	City	11	Trip Completed	14-07-2016 18:22	14-07-2016 19:14	14-07-2016 18:22	14-07-2016 19:14	14-07-2016	18	14-07-2016	19	Evening
5661	Airport	11	Trip Completed	15-07-2016 07:08	15-07-2016 07:59	15-07-2016 07:08	15-07-2016 07:59	15-07-2016	7	15-07-2016	7	Morning
5778	City	11	Trip Completed	15-07-2016 08:22	15-07-2016 09:13	15-07-2016 08:22	15-07-2016 09:13	15-07-2016	8	15-07-2016	9	Morning
6425	Airport	11	Trip Completed	15-07-2016 19:46	15-07-2016 20:26	15-07-2016 19:46	15-07-2016 20:26	15-07-2016	19	15-07-2016	20	Evening
45	Airport	12	Trip Completed	11-07-2016 03:17	11-07-2016 04:09	11-07-2016 03:17	11-07-2016 04:09	11-07-2016	3	11-07-2016	4	Early_Morning
264	City	12	Trip Completed	11-07-2016 06:51	11-07-2016 07:40	11-07-2016 06:51	11-07-2016 07:40	11-07-2016	6	11-07-2016	7	Morning
1183	City	12	Trip Completed	11-07-2016 21:05	11-07-2016 21:38	11-07-2016 21:05	11-07-2016 21:38	11-07-2016	21	11-07-2016	21	Late_Night
1536	Airport	12	Trip Completed	12-07-2016 05:59	12-07-2016 06:59	12-07-2016 05:59	12-07-2016 06:59	12-07-2016	5	12-07-2016	6	Morning
2437	City	12	Trip Completed	12-07-2016 20:18	12-07-2016 21:26	12-07-2016 20:18	12-07-2016 21:26	12-07-2016	20	12-07-2016	21	Evening
2641	Airport	12	Trip Completed	12-07-2016 22:28	12-07-2016 23:05	12-07-2016 22:28	12-07-2016 23:05	12-07-2016	22	12-07-2016	23	Late_Night
4077	Airport	12	Trip Completed	14-07-2016 02:14	14-07-2016 03:13	14-07-2016 02:14	14-07-2016 03:13	14-07-2016	2	14-07-2016	3	Early_Morning
4610	City	12	Trip Completed	14-07-2016 10:35	14-07-2016 11:39	14-07-2016 10:35	14-07-2016 11:39	14-07-2016	10	14-07-2016	11	Afternoon
5066	Airport	12	Trip Completed	14-07-2016 19:31	14-07-2016 20:14	14-07-2016 19:31	14-07-2016 20:14	14-07-2016	19	14-07-2016	20	Evening
5666	Airport	12	Trip Completed	15-07-2016 07:04	15-07-2016 08:12	15-07-2016 07:04	15-07-2016 08:12	15-07-2016	7	15-07-2016	8	Morning
5923	City	12	Trip Completed	15-07-2016 10:07	15-07-2016 10:50	15-07-2016 10:07	15-07-2016 10:50	15-07-2016	10	15-07-2016	10	Afternoon
6367	City	12	Trip Completed	15-07-2016 19:04	15-07-2016 19:46	15-07-2016 19:04	15-07-2016 19:46	15-07-2016	19	15-07-2016	19	Evening
155	City	13	Trip Completed	11-07-2016 05:32	11-07-2016 06:28	11-07-2016 05:32	11-07-2016 06:28	11-07-2016	5	11-07-2016	6	Morning
310	Airport	13	Trip Completed	11-07-2016 07:24	11-07-2016 08:28	11-07-2016 07:24	11-07-2016 08:28	11-07-2016	7	11-07-2016	8	Morning
607	City	13	Trip Completed	11-07-2016 11:51	11-07-2016 12:42	11-07-2016 11:51	11-07-2016 12:42	11-07-2016	11	11-07-2016	12	Afternoon
1012	City	13	Trip Completed	11-07-2016 19:15	11-07-2016 19:57	11-07-2016 19:15	11-07-2016 19:57	11-07-2016	19	11-07-2016	19	Evening
1696	Airport	13	Trip Completed	12-07-2016 08:01	12-07-2016 08:42	12-07-2016 08:01	12-07-2016 08:42	12-07-2016	8	12-07-2016	8	Morning
3076	City	13	Trip Completed	13-07-2016 08:09	13-07-2016 09:12	13-07-2016 08:09	13-07-2016 09:12	13-07-2016	8	13-07-2016	9	Morning
4198	Airport	13	Trip Completed	14-07-2016 05:32	14-07-2016 06:45	14-07-2016 05:32	14-07-2016 06:45	14-07-2016	5	14-07-2016	6	Morning
4627	City	13	Trip Completed	14-07-2016 11:13	14-07-2016 12:00	14-07-2016 11:13	14-07-2016 12:00	14-07-2016	11	14-07-2016	12	Afternoon
5289	City	13	Trip Completed	14-07-2016 21:43	14-07-2016 22:24	14-07-2016 21:43	14-07-2016 22:24	14-07-2016	21	14-07-2016	22	Late_Night
5495	Airport	13	Trip Completed	15-07-2016 05:00	15-07-2016 06:02	15-07-2016 05:00	15-07-2016 06:02	15-07-2016	5	15-07-2016	6	Morning
6656	Airport	13	Trip Completed	15-07-2016 22:08	15-07-2016 22:41	15-07-2016 22:08	15-07-2016 22:41	15-07-2016	22	15-07-2016	22	Late_Night
139	Airport	14	Trip Completed	11-07-2016 05:21	11-07-2016 06:09	11-07-2016 05:21	11-07-2016 06:09	11-07-2016	5	11-07-2016	6	Morning
215	City	14	Trip Completed	11-07-2016 06:15	11-07-2016 07:07	11-07-2016 06:15	11-07-2016 07:07	11-07-2016	6	11-07-2016	7	Morning
1816	City	14	Trip Completed	12-07-2016 09:24	12-07-2016 10:07	12-07-2016 09:24	12-07-2016 10:07	12-07-2016	9	12-07-2016	10	Morning
2505	Airport	14	Trip Completed	12-07-2016 21:03	12-07-2016 22:14	12-07-2016 21:03	12-07-2016 22:14	12-07-2016	21	12-07-2016	22	Late_Night
3346	City	14	Trip Completed	13-07-2016 13:01	13-07-2016 13:55	13-07-2016 13:01	13-07-2016 13:55	13-07-2016	13	13-07-2016	13	Afternoon
5294	City	14	Trip Completed	14-07-2016 21:45	14-07-2016 22:16	14-07-2016 21:45	14-07-2016 22:16	14-07-2016	21	14-07-2016	22	Late_Night
6226	Airport	14	Trip Completed	15-07-2016 17:34	15-07-2016 18:33	15-07-2016 17:34	15-07-2016 18:33	15-07-2016	17	15-07-2016	18	Evening
6733	Airport	14	Trip Completed	15-07-2016 23:32	16-07-2016 00:37	15-07-2016 23:32	16-07-2016 00:37	15-07-2016	23	16-07-2016	0	Late_Night
1027	Airport	15	Trip Completed	11-07-2016 19:18	11-07-2016 20:24	11-07-2016 19:18	11-07-2016 20:24	11-07-2016	19	11-07-2016	20	Evening
2675	Airport	15	Trip Completed	12-07-2016 23:43	13-07-2016 00:35	12-07-2016 23:43	13-07-2016 00:35	12-07-2016	23	13-07-2016	0	Late_Night
3200	City	15	Trip Completed	13-07-2016 09:39	13-07-2016 10:30	13-07-2016 09:39	13-07-2016 10:30	13-07-2016	9	13-07-2016	10	Morning
3865	City	15	Trip Completed	13-07-2016 21:52	13-07-2016 22:21	13-07-2016 21:52	13-07-2016 22:21	13-07-2016	21	13-07-2016	22	Late_Night
4468	City	15	Trip Completed	14-07-2016 08:42	14-07-2016 09:22	14-07-2016 08:42	14-07-2016 09:22	14-07-2016	8	14-07-2016	9	Morning
5163	Airport	15	Trip Completed	14-07-2016 20:34	14-07-2016 21:05	14-07-2016 20:34	14-07-2016 21:05	14-07-2016	20	14-07-2016	21	Evening
6009	City	15	Trip Completed	15-07-2016 12:22	15-07-2016 13:25	15-07-2016 12:22	15-07-2016 13:25	15-07-2016	12	15-07-2016	13	Afternoon
6448	Airport	15	Trip Completed	15-07-2016 20:02	15-07-2016 20:40	15-07-2016 20:02	15-07-2016 20:40	15-07-2016	20	15-07-2016	20	Evening
591	City	16	Trip Completed	11-07-2016 11:25	11-07-2016 12:31	11-07-2016 11:25	11-07-2016 12:31	11-07-2016	11	11-07-2016	12	Afternoon
709	City	16	Trip Completed	11-07-2016 14:16	11-07-2016 15:03	11-07-2016 14:16	11-07-2016 15:03	11-07-2016	14	11-07-2016	15	Afternoon
1167	Airport	16	Trip Completed	11-07-2016 20:50	11-07-2016 21:52	11-07-2016 20:50	11-07-2016 21:52	11-07-2016	20	11-07-2016	21	Evening
2661	Airport	16	Trip Completed	12-07-2016 23:23	13-07-2016 00:27	12-07-2016 23:23	13-07-2016 00:27	12-07-2016	23	13-07-2016	0	Late_Night
2808	City	16	Trip Completed	13-07-2016 05:05	13-07-2016 05:56	13-07-2016 05:05	13-07-2016 05:56	13-07-2016	5	13-07-2016	5	Morning
3258	Airport	16	Trip Completed	13-07-2016 10:12	13-07-2016 10:45	13-07-2016 10:12	13-07-2016 10:45	13-07-2016	10	13-07-2016	10	Afternoon
3413	Airport	16	Trip Completed	13-07-2016 15:32	13-07-2016 16:45	13-07-2016 15:32	13-07-2016 16:45	13-07-2016	15	13-07-2016	16	Afternoon
3939	Airport	16	Trip Completed	13-07-2016 22:26	13-07-2016 22:55	13-07-2016 22:26	13-07-2016 22:55	13-07-2016	22	13-07-2016	22	Late_Night
4125	City	16	Trip Completed	14-07-2016 04:37	14-07-2016 05:46	14-07-2016 04:37	14-07-2016 05:46	14-07-2016	4	14-07-2016	5	Early_Morning
4457	City	16	Trip Completed	14-07-2016 08:36	14-07-2016 09:19	14-07-2016 08:36	14-07-2016 09:19	14-07-2016	8	14-07-2016	9	Morning
4728	City	16	Trip Completed	14-07-2016 14:04	14-07-2016 15:06	14-07-2016 14:04	14-07-2016 15:06	14-07-2016	14	14-07-2016	15	Afternoon
5347	Airport	16	Trip Completed	14-07-2016 22:51	14-07-2016 23:53	14-07-2016 22:51	14-07-2016 23:53	14-07-2016	22	14-07-2016	23	Late_Night
6147	City	16	Trip Completed	15-07-2016 16:11	15-07-2016 17:30	15-07-2016 16:11	15-07-2016 17:30	15-07-2016	16	15-07-2016	17	Afternoon
6496	Airport	16	Trip Completed	15-07-2016 20:33	15-07-2016 21:32	15-07-2016 20:33	15-07-2016 21:32	15-07-2016	20	15-07-2016	21	Evening
634	City	17	Trip Completed	11-07-2016 12:25	11-07-2016 13:06	11-07-2016 12:25	11-07-2016 13:06	11-07-2016	12	11-07-2016	13	Afternoon
939	Airport	17	Trip Completed	11-07-2016 18:25	11-07-2016 19:26	11-07-2016 18:25	11-07-2016 19:26	11-07-2016	18	11-07-2016	19	Evening
2628	Airport	17	Trip Completed	12-07-2016 22:10	12-07-2016 23:25	12-07-2016 22:10	12-07-2016 23:25	12-07-2016	22	12-07-2016	23	Late_Night
3021	City	17	Trip Completed	13-07-2016 07:33	13-07-2016 08:26	13-07-2016 07:33	13-07-2016 08:26	13-07-2016	7	13-07-2016	8	Morning
4743	City	17	Trip Completed	14-07-2016 14:54	14-07-2016 15:39	14-07-2016 14:54	14-07-2016 15:39	14-07-2016	14	14-07-2016	15	Afternoon
4981	City	17	Trip Completed	14-07-2016 18:47	14-07-2016 19:43	14-07-2016 18:47	14-07-2016 19:43	14-07-2016	18	14-07-2016	19	Evening
5367	Airport	17	Trip Completed	14-07-2016 23:35	15-07-2016 00:25	14-07-2016 23:35	15-07-2016 00:25	14-07-2016	23	15-07-2016	0	Late_Night
5471	Airport	17	Trip Completed	15-07-2016 04:48	15-07-2016 05:47	15-07-2016 04:48	15-07-2016 05:47	15-07-2016	4	15-07-2016	5	Early_Morning
5988	Airport	17	Trip Completed	15-07-2016 11:48	15-07-2016 12:55	15-07-2016 11:48	15-07-2016 12:55	15-07-2016	11	15-07-2016	12	Afternoon
6477	Airport	17	Trip Completed	15-07-2016 20:21	15-07-2016 21:00	15-07-2016 20:21	15-07-2016 21:00	15-07-2016	20	15-07-2016	21	Evening
499	City	18	Trip Completed	11-07-2016 09:39	11-07-2016 10:16	11-07-2016 09:39	11-07-2016 10:16	11-07-2016	9	11-07-2016	10	Morning
1147	Airport	18	Trip Completed	11-07-2016 20:42	11-07-2016 21:18	11-07-2016 20:42	11-07-2016 21:18	11-07-2016	20	11-07-2016	21	Evening
1410	Airport	18	Trip Completed	12-07-2016 03:14	12-07-2016 04:27	12-07-2016 03:14	12-07-2016 04:27	12-07-2016	3	12-07-2016	4	Early_Morning
1804	Airport	18	Trip Completed	12-07-2016 09:12	12-07-2016 09:57	12-07-2016 09:12	12-07-2016 09:57	12-07-2016	9	12-07-2016	9	Morning
